IDENTIFIER,DIRX,DIRY,DIRZ,SURFACEANGLE,LOCX,LOCY,LOCZ,2DLOCX,2DLOCY,2DLOCZ,WAVELENGTH,RGBCOLOR,DISTANCE,CASUALTYINTENSITY,TRACESOURCEINTENSITY,INTENSITYFRACTION,Pol1DirX,Pol1DirY,Pol1DirZ,Pol1Len,Pol2DirX,Pol2DirY,Pol2DirZ,Pol2Len
spiral_256_t_t,0.99881560354546,0.0279480010146761,-0.0398283737228003,0.0486750516706796,10,-0.00802001003436903,0.0114292237481213,0.0385707762518787,0.041979989965631,0,9.31E-07,#868686,0,0.919501273000924,1,0.919501273000924,-5.76528940352031E-19,-0.55485003522265,-0.389344276402592,0.677825587562194,0.0330019194878346,-0.389139610054363,0.554558367571663,0.678272619119253
spiral_255_t_t,0.998843942329203,0.0318601228180065,-0.0359959920863114,0.0480890940729946,10,-0.0124789161745528,0.0140988460851468,0.0359011539148532,0.0375210838254472,0,1.327E-06,#545454,0,0.920767545008635,1,0.920767545008635,1.15805770220734E-18,-0.507920061737377,-0.449561037514399,0.678297807431458,0.0326271168599699,-0.449329979733914,0.507659009572408,0.678733842859123
spiral_254_t_t,0.998831665151611,0.035900695178855,-0.0323487986814689,0.0483438190536817,10,-0.0113747198474505,0.010249342542537,0.039750657457463,0.0386252801525495,0,1.033E-06,#797979,0,0.919862405172563,1,0.919862405172563,-5.79191086931414E-19,-0.453828334226056,-0.503658662907644,0.677961802514207,0.0327838030678761,-0.503397368497559,0.453592891424007,0.678402682412335
spiral_253_t_t,0.998879188106702,0.0385144409544272,-0.0275137312130503,0.0473502127932091,10,-0.0197214078887495,0.0140884692169371,0.035911530783063,0.0302785921112505,0,1.783E-06,#1B1B1B,0,0.922185451231697,1,0.922185451231697,1.16574822963058E-18,-0.394592533954891,-0.552360955058505,0.678826850180579,0.0321505800808852,-0.552085192573996,0.394395536291433,0.679249261100526
spiral_252_t_t,0.998867218306086,0.0415988028571216,-0.023104540556283,0.0476024290193056,10,-0.018131939137931,0.0100707254633089,0.0399292745366911,0.031868060862069,0,1.501E-06,#3E3E3E,0,0.921288495233439,1,0.921288495233439,1.16609323655254E-18,-0.329441555025855,-0.593146367359268,0.67849417925974,0.0323060993099328,-0.592847440186015,0.329275526810536,0.678921309095605
spiral_251_t_t,0.998859096062096,0.0441058722262936,-0.0183078739664118,0.0477728154406636,10,-0.0166791366473639,0.00692333052709619,0.0430766694729038,0.0333208633526361,0,1.27E-06,#5B5B5B,0,0.920598196521387,1,0.920598196521387,5.83454894090315E-19,-0.260018688261923,-0.62641632021113,0.678238250522856,0.0324095788606772,-0.62609865612257,0.259886829309737,0.67866860252194
spiral_250_t_t,0.998863346724113,0.0458136050171777,-0.0131578176926782,0.0476837219874931,10,-0.0172637690807244,0.00495821112893196,0.0450417888710681,0.0327362309192756,0,1.264E-06,#5C5C5C,0,0.920580330955831,1,0.920580330955831,-8.76907555687617E-19,-0.187222001997821,-0.651879745592337,0.678232468070942,0.0323488308482996,-0.651550407775495,0.187127415096142,0.678661219026275
spiral_249_t_t,0.998815336310947,0.0479949965059127,-0.00802522650438061,0.0486805437038198,10,-0.00694102610165084,0.00116060653596887,0.0488393934640311,0.0430589738983492,0,6.15E-07,#FF7500,0,0.917715011901777,1,0.917715011901777,0,-0.111678309046211,-0.667893927920084,0.677166407660583,0.0329735885708693,-0.667543591607014,0.111619729434381,0.677613952216037
spiral_248_t_t,0.998893334152725,0.0469708080555562,-0.00241871367886853,0.0470503990578191,10,-0.0222684783981713,0.00114669249985097,0.048853307500149,0.0277315216018287,0,1.644E-06,#2C2C2C,0,0.921732336288519,1,0.921732336288519,2.20588840846084E-19,-0.034900795870842,-0.677764630910068,0.678662626394794,0.0319391883976995,-0.677430733262632,0.0348836021532836,0.679079800777081
spiral_247_t_t,0.99887578734231,0.0473101596046445,0.0029850057726667,0.0474220067734581,10,-0.0175674090416604,-0.00110840499880716,0.0511084049988072,0.0324325909583396,0,1.24E-06,#5F5F5F,0,0.920508699926068,1,0.920508699926068,2.94038879732048E-19,0.0427062275375918,-0.676862490323007,0.678208413894104,0.0321700534640145,-0.676524304870807,-0.0426848899319806,0.6786324831964
spiral_246_t_t,0.998894594872607,0.0462660220129985,0.00830924433287235,0.0470235864404717,10,-0.0202562940368739,-0.00363797208205192,0.0536379720820519,0.0297437059631261,0,1.505E-06,#3E3E3E,0,0.921300723842902,1,0.921300723842902,8.85227514389196E-19,0.119938375916352,-0.667819036009862,0.678503853249629,0.0319135194074345,-0.667490602228541,-0.119879390154935,0.678920647033442
